nt,Ladder,GOLLDaFull
11092.083692343218,0.1132889,0.04101181
11069.509227395927,0.1132889,0.04101181
11046.948485881134,0.1132889,0.04101181
11024.401502198281,0.1132889,0.04101181
11001.868310782047,0.1132889,0.04101181
10979.34894610231,0.1132889,0.04101181
10956.843442664085,0.1132889,0.04101181
10934.351835007234,0.1132889,0.04101181
10911.874157706718,0.1132889,0.04101181
10889.410445372258,0.1132889,0.04101181
10866.96073264831,0.1132889,0.04101181
10844.525054213998,0.1132889,0.04101181
10822.103444783028,0.1132889,0.04101181
10799.69593910364,0.1132889,0.04101181
10777.302571958395,0.1132889,0.04101181
10754.92337816423,0.1132889,0.04101181
10732.558392572242,0.1132889,0.04101181
10710.20765006766,0.1132889,0.04101181
10687.871185569786,0.1132889,0.04101181
10665.5490340318,0.1197957,0.04101181
10643.241230440817,0.1252287,0.04101181
10620.947809817624,0.1268898,0.04101181
10598.668807216656,0.1201486,0.04101181
10576.404257725964,0.1238759,0.04101181
10554.15419646701,0.1228171,0.04101181
10531.918658594648,0.1070602,0.03869611
10509.697679296987,0.08849279,0.04686842
10487.49129379524,0.09666922,0.064614
10465.299537343777,0.09916249,0.07492361
10443.122445229845,0.1159325,0.06111373
10420.960052773615,0.1276512,0.04970773
10398.8123953279,0.1334382,0.0247997
10376.679508278308,0.1242517,-0.01812983
10354.561427042858,0.1221815,-0.05406026
10332.458187072094,0.119742,-0.04844696
10310.369823848816,0.1358004,-0.03697255
10288.296372888088,0.1255796,-0.02672314
10266.23786973706,0.1457371,-0.01505536
10244.194349974925,0.1394302,-0.007707116
10222.165849212712,0.1422264,-0.01789938
10200.152403093234,0.143011,-0.03226371
10178.154047291013,0.1428979,-0.04114995
10156.170817512042,0.1453146,-0.03664967
10134.202749493823,0.1462984,-0.05113103
10112.249879005165,0.1300874,-0.05762641
10090.312241846053,0.1278095,-0.06468741
10068.389873847575,0.1103342,-0.07283745
10046.482810871777,0.1051117,-0.05861532
10024.59108881154,0.1006715,-0.04180361
10002.714743590524,0.1015472,-0.02485657
9980.85381116296,0.0985133,-0.01107158
9959.008327513518,0.07071441,-0.02411174
9937.178328657323,0.06180539,-0.0173359
9915.363850639646,0.06925989,-0.0162669
9893.564929535949,0.09365851,-0.005173834
9871.781601451617,0.1050289,0.02421254
9850.0139025219,0.1355276,0.02300218
9828.261868911824,0.146466,0.01600652
9806.525536815956,0.1462109,0.01355958
9784.804942458344,0.1627687,0.007670728
9763.100122092423,0.1676604,0.03752754
9741.411112000784,0.1805162,0.03332729
9719.737948495074,0.180051,0.0286571
9698.08066791596,0.1816467,0.02753944
9676.439306632812,0.1955928,0.02993238
9654.813901043752,0.1987446,0.05534482
9633.204487575345,0.1940094,0.06447471
9611.611102682624,0.2056777,0.0500986
9590.03378284885,0.2014604,0.02890115
9568.472564585358,0.2005901,0.0008828171
9546.927484431495,0.1702035,0.003449016
9525.398578954406,0.143936,0.02085975
9503.885884748925,0.1201068,0.03733342
9482.38943843745,0.1072012,0.05438001
9460.909276669723,0.116188,0.05653961
9439.44543612277,0.1607084,0.04550694
9417.997953500666,0.2113701,0.03092723
9396.566865534489,0.2419255,0.03682947
9375.152208982086,0.2292178,0.04748715
9353.754020627928,0.1841831,0.04706163
9332.372337283006,0.1303611,0.05277821
9311.007195784654,0.08606588,0.06276637
9289.658632996343,0.06331324,0.07751762
9268.326685807642,0.07263973,0.08577675
9247.011391133949,0.07418883,0.1090412
9225.712785916365,0.06285127,0.1171597
9204.430907121576,0.06084156,0.09846053
9183.165791741618,0.08849937,0.0634279
9161.917476793817,0.1415447,0.02142316
9140.68599932051,0.1749994,-0.02084917
9119.471396388974,0.1780747,-0.03551036
9098.273705091211,0.1624107,-0.0474775
9077.092962543793,0.1322526,-0.03751038
9055.929205887729,0.1127701,-0.0273328
9034.78247228823,0.1112731,-0.02737573
9013.65279893456,0.1285515,-0.006989531
8992.540223039952,0.132372,0.007743721
8971.444781841263,0.1082567,-0.005162334
8950.366512599017,0.08981682,-0.01751556
8929.305452596998,0.08052615,-0.04767754
8908.26163914228,0.05996572,-0.08096544
8887.23510956492,0.06023005,-0.1155995
8866.225901217807,0.07074267,-0.1207063
8845.234051476531,0.1010396,-0.08744302
8824.25959773915,0.1172945,-0.06438068
8803.30257742604,0.1167458,-0.04178356
8782.363027979665,0.1077616,-0.01960536
8761.44098686446,0.09701771,-0.0270309
8740.5364915666,0.09868567,-0.02349158
8719.649579593819,0.1206092,-0.02139943
8698.78028847521,0.1381962,-0.01633662
8677.928655761109,0.1592356,-0.0222315
8657.094719022747,0.1610425,-0.03163434
8636.278515852275,0.1531019,-0.03888481
8615.480083862378,0.1575143,-0.03743729
8594.699460686184,0.1708918,-0.03964171
8573.936683977037,0.1861279,-0.04462589
8553.191791408279,0.2105631,-0.06543183
8532.464820673138,0.22442,-0.07684955
8511.755809484388,0.2149621,-0.08000181
8491.064795574299,0.1945962,-0.05963048
8470.391816694304,0.166768,-0.03907357
8449.736910614885,0.1238524,-0.02232893
8429.100115125342,0.08371186,-0.02892306
8408.481468033571,0.04497823,-0.04599385
8387.881007165848,0.03532491,-0.06561807
8367.29877036667,0.04297524,-0.07612392
8346.73479549848,0.06338369,-0.0749706
8326.189120441515,0.1022214,-0.06494149
8305.66178309358,0.1068337,-0.05827624
8285.152821369755,0.09470553,-0.04628073
8264.66227320231,0.1037318,-0.03028789
