nt,Ladder,OLE_01
10877.858526185368,0.2128487,0.08224869
10855.843906835604,0.2128487,0.08224869
10833.842419377303,0.2128487,0.08224869
10811.85409730077,0.2128487,0.08224869
10789.878974131694,0.2128487,0.08224869
10767.917083431117,0.2128487,0.08224869
10745.96845879538,0.2128487,0.08224869
10724.033133855912,0.2128487,0.08224869
10702.111142279338,0.2128487,0.08224869
10680.202517767282,0.2128487,0.08224869
10658.307294056303,0.2128487,0.08685524
10636.425504917812,0.2128487,0.07831964
10614.557184158002,0.2128487,0.07428575
10592.702365617837,0.2128487,0.08046447
10570.861083172818,0.2128487,0.1030287
10549.033370733048,0.2128487,0.1156934
10527.21926224304,0.2207798,0.1200336
10505.418791681694,0.2329496,0.108934
10483.631993062196,0.2369692,0.09799231
10461.858900431893,0.237676,0.07216416
10440.099547872303,0.2369029,0.07695643
10418.353969498972,0.2440095,0.08702573
10396.622199461253,0.2428109,0.1140134
10374.904271942496,0.2481079,0.1368079
10353.200221159712,0.2419659,0.1322823
10331.510081363625,0.2301428,0.1232551
10309.8338868385,0.209164,0.1122137
10288.171671902073,0.1928705,0.09525187
10266.523470905457,0.1843247,0.08631828
10244.889318233125,0.1788807,0.08911082
10223.269248302646,0.1760417,0.09947606
10201.663295564713,0.1733077,0.09031015
10180.071494503036,0.1701014,0.07568969
10158.493879634267,0.1844496,0.08975434
10136.930485507766,0.1929037,0.1119202
10115.381346705648,0.2083179,0.1253638
10093.846497842653,0.218138,0.1463326
10072.325973565961,0.220063,0.1522904
10050.819808555245,0.2447607,0.1407088
10029.328037522317,0.2321829,0.125087
10007.850695211331,0.2250223,0.1146178
9986.387816398465,0.2322972,0.1119337
9964.939435891843,0.2102374,0.09509901
9943.505588531543,0.2049626,0.08691645
9922.08630918934,0.2066112,0.09267858
9900.681632768694,0.2195643,0.08514931
9879.291594204595,0.2288456,0.0752964
9857.916228463473,0.2111891,0.05480594
9836.555570543089,0.1866684,0.05684612
9815.209655472441,0.1779861,0.05467606
9793.87851831157,0.1521689,0.04294695
9772.56219415154,0.1534214,0.07123694
9751.26071811427,0.162048,0.0786934
9729.974125352443,0.1815476,0.08058577
9708.70245104938,0.1927548,0.08224233
9687.445730418898,0.1656475,0.1109596
9666.203998705227,0.1376278,0.1419077
9644.977291182888,0.132418,0.1661071
9623.765643156547,0.1349812,0.1834883
9602.569089960896,0.1600403,0.1836929
9581.387666960572,0.1972836,0.1446533
9560.221409549978,0.2184569,0.09119394
9539.070353153174,0.2229798,0.04276879
9517.934533223797,0.2251872,0.04970562
9496.81398524485,0.2391776,0.06128616
9475.708744728654,0.260856,0.08354126
9454.618847216652,0.2550269,0.1020493
9433.544328279364,0.2557307,0.1019127
9412.485223516163,0.2683196,0.08139834
9391.441568555201,0.2546928,0.06074549
9370.413399053254,0.2429966,0.06648665
9349.40075069559,0.2269239,0.1114511
9328.40365919585,0.2141626,0.1175623
9307.422160295917,0.1857709,0.09858547
