nt,Ladder,ROOL_120
10932.016663770684,0.2601893,0.1534119
10909.856599306826,0.254304,0.1534119
10887.709826299653,0.2549947,0.1534119
10865.576378477614,0.2365559,0.1534119
10843.45628960443,0.2196364,0.1534119
10821.349593479123,0.2262761,0.1534119
10799.256323935879,0.2608926,0.1534119
10777.176514844032,0.2906795,0.1534119
10755.110200107949,0.2955463,0.1534119
10733.057413666897,0.2940076,0.1534119
10711.0181894951,0.2868488,0.1583515
10688.992561601503,0.2846632,0.1622837
10666.980564029769,0.2762457,0.1586721
10644.9822308582,0.2727622,0.1441343
10622.997596199675,0.2572884,0.1327534
10601.026694201415,0.2426303,0.1278661
10579.06955904511,0.2386481,0.1395407
10557.126224946729,0.2677822,0.1437242
10535.196726156366,0.2874919,0.1381896
10513.281096958272,0.311882,0.1334465
10491.379371670708,0.3338648,0.1290209
10469.491584645875,0.3429405,0.1409101
10447.61777026977,0.3559591,0.1591612
10425.757962962156,0.3918245,0.1680022
10403.912197176458,0.4048739,0.1735923
10382.080507399625,0.3785349,0.1446181
10360.262928152133,0.3314023,0.1179945
10338.459493987766,0.3049262,0.1194615
10316.670239493593,0.302729,0.122704
10294.895199289893,0.2926049,0.1556564
10273.134408029982,0.2937346,0.1796223
10251.387900400201,0.2829426,0.1785964
10229.65571111972,0.2482008,0.1674103
10207.937874940542,0.2137703,0.1505286
10186.234426647326,0.2315197,0.1395622
10164.545401057305,0.2399774,0.1227283
10142.870833020195,0.2652001,0.1066036
10121.210757418068,0.2952894,0.1407055
10099.56520916531,0.3188882,0.1456751
10077.934223208407,0.3526058,0.1601692
10056.31783452599,0.3996163,0.1905646
10034.716078128515,0.4082284,0.1927143
10013.128989058365,0.3949547,0.1822784
9991.556602389652,0.3587498,0.1703528
9969.998953228076,0.3266024,0.1666937
9948.456076710887,0.3051114,0.1674752
9926.928008006702,0.2999127,0.1500892
9905.414782315429,0.3035735,0.1887041
9883.916434868153,0.3054751,0.1615273
9862.433000927032,0.2952766,0.1557007
9840.964515785152,0.2924006,0.1247635
9819.511014766425,0.2859085,0.1036089
9798.072533225457,0.2722647,0.07246568
9776.649106547493,0.2743341,0.07216921
9755.240770148212,0.26452,0.07315776
9733.847559473628,0.2769965,0.1066592
9712.469510000019,0.2822212,0.1001679
9691.106657233759,0.2928662,0.1310652
9669.75903671122,0.2952852,0.1216545
9648.426683998594,0.2867084,0.1187068
9627.109634691842,0.2773312,0.1049334
9605.807924416536,0.2911914,0.1024773
9584.521588827716,0.3122222,0.09911159
9563.250663609759,0.3471773,0.1023435
9541.995184476302,0.3440464,0.1014416
9520.755187170053,0.31082,0.111827
9499.53070746272,0.2676509,0.112883
9478.321781154751,0.2277596,0.09519856
9457.12844407539,0.2237595,0.08598494
9435.950732082418,0.2466862,0.06281178
9414.788681062002,0.2753301,0.06941549
9393.64232692864,0.2894122,0.08351846
9372.511705624986,0.2768359,0.1127928
9351.396853121674,0.2639003,0.1342609
9330.297805417269,0.2637087,0.1167882
9309.21459853802,0.2856963,0.1059678
9288.147268537801,0.3122904,0.1004971
9267.095851497907,0.3331215,0.09745177
9246.060383526996,0.347804,0.1045889
9225.040900760847,0.3403015,0.1084251
9204.037439362253,0.3474089,0.1035397
9183.050035520895,0.377647,0.1148846
9162.078725453155,0.4328834,0.1224171
9141.123545402033,0.4707015,0.149782
9120.18453163691,0.4795053,0.1825981
9099.261720453434,0.4696923,0.1865944
9078.355148173421,0.4420618,0.1721937
9057.464851144585,0.4089758,0.147357
9036.590865740507,0.3820533,0.1404758
9015.733228360408,0.3671838,0.1437108
8994.891975428975,0.364641,0.1328019
8974.067143396296,0.34218,0.1382381
8953.258768737578,0.3388298,0.126694
